"Description","Manufacturer","Part #","Package","Alternatives","Digikey #","Reichelt #","Trenz #","Used for","Comment"
"IC 12STAGE BINARY RIPPLE 16SOIC","NXP","74HC4040D","SOIC16",,"568-8148-1-ND",,,,
"SMD Diode",,,,,,,,"friendship0",
"IC TXRX RS485/RS422 LOWPWR 8SOIC","Maxim","MAX485CSA+","SOIC8","SP485EN-L","MAX485CSA+-ND",,,"friendship0,flutter0,braeburn0,dash0,celestia0",
"IC TXRX RS485 HALF DUPLEX 8NSOIC","Exar","SP485EN-L","SOIC8","MAX485CSA+","1016-1174-5-ND",,,"friendship0,flutter0,braeburn0,dash0,celestia0"
"IC FPGA SPARTAN-3A 50K 100-VQFP","XILINX","XC3S50A-4VQG100I","VQFP100",,"122-1593-ND",,,"flutter0",
"IC SHIFT REGST 8BIT PI-SO 16SOIC","NXP","74HC165D","SOIC16",,"568-1409-1-ND",,,"friendship0",
"OSC 10.000 MHZ 3.3V SMD","FOX","FXO-HC736R-10",,,"631-1175-1-ND",,,,
"OSCILLATOR 4.00 MHZ 3.3V SMD","FOX","FXO-HC735-4",,,"631-1115-1-ND",,,,
"OSC MEMS 100.000 MHZ 3.3V SMD","ABRACON","ASEM1-100.000MHZ-LC-T",,,"535-9777-1-ND",,,,
"SMD HC 595","NXP",,"SOIC16",,,"4587851-439",,"friendship0",
"IC CPLD 1.5K 64MCELL HP 44-VQFP","XILINX","XCR3064XL-10VQG44I","VQFP44",,"122-1469-ND",,,,
"IC FLASH 16MBIT 66MHZ 8SOIC","ATMEL","AT45DB161D-SU","SOIC8",,"AT45DB161D-SU-ND",,,"flutter0","discontinued"
"IC REG VLDO 500MA 2.5V D-PAK","STM","LF25CDT-TR",,,"497-6449-1-ND",,,,
"IC REG LDO 1A 1.2V SOT-223","NXP","NX1117CE12Z","SOT223",,"568-8436-1-ND",,,,
"IC REG POS ADJ 1.5A LDO TO-263","NATIONAL","LM1086CSX-ADJ","TO263",,"-LM1086CSX-ADJCT-ND",,,,
"IC OCTAL D TRANSP LATCH 20TSSOP","NXP","74LVC573APW","TSSOP20",,"568-8325-5-ND",,,,
"low-power POT GPS receiver (MediaTek MT3329)","GlobalTop","Gms-u1LP",,"GlobalTop FGPMMOPA6C (PA6C)",,,23860,,"discontinued"
"IC SWITCH 1X1 SOT23-5","NXP","74V1G66STR","SOT23-5",,"497-1273-1-ND",,,"friendship0",
"CONN PCI EXPRESS 64POS VERT PCB",,,,,"609-2026-ND",,,"friendship0",
"10k resistor",,,"0603",,,,,"friendship0",
"CONN HEADR FMALE 10POS .1"" DL AU",,,,,"S9194-ND",,,"friendship0",
"CONN HEADER SH 2POS SIDE 1MM TIN",,,,,"455-1802-1-ND",,,,
